identifiant,commemore,adresse_complete,precision_adresse,empty,xy.lon,xy.lat
902.0,Roger SALOMEZ,"77, rue des Dames 75017 Paris",,75017.0,2.319978,48.883412
730.0,André DUBREUIL,"9/11, boulevard Brune 75014 Paris",,75014.0,2.306151,48.827714
162.0,L.R. GIBRAT,"3, place Saint-Michel 75005 Paris",,75005.0,2.34455,48.853405
80.0,Samuel TYSZELMAN,"45, rue de Turenne 75003 Paris",,75003.0,2.364345,48.857692
1057.0,Charles MICHELS,"51, rue des Bois 75019 Paris",,75019.0,2.4007,48.878675
968.0,VICTIMES DU BOMBARDEMENT DE LA PLAINE,"talus du peripherique, 93200 Saint-Denis 75018 Paris",,75018.0,2.332642,48.89654
471.0,Eleves de ces ecoles morts en déportation parce que nés juifs,10 rue Eugène Varlin 75010 Paris,(plaques en plexiglass a l'extérieur et a l'interieur des ecoles),75010.0,2.364765,48.878343
637.0,André CHESNOT,"15, rue Watt 75013 Paris",,75013.0,2.381667,48.827718
787.0,COMITE LOCAL DE LIBERATION,"31, rue Peclet 75015 Paris",,75015.0,2.299879,48.841523
879.0,Eleves de ces ecoles morts en déportation parce que nés juifs,Lycée Janson de Sailly 106 rue de la Pompe 75016 Paris,(plaques en plexiglass a l'extérieur et a l'interieur des ecoles),75016.0,2.279442,48.86555
489.0,DEPORTATION,"22, rue de la Roquette 75011 Paris",,75011.0,2.371115,48.853978
41.0,Eleves de ces ecoles morts en déportation parce que nés juifs,42 rue Dussoubs 75002 Paris,(plaques en plexiglass a l'extérieur et a l'interieur des ecoles),75002.0,2.34969,48.867156
1213.0,Eleves de ces ecoles morts en déportation parce que nés juifs,151 avenue Gambetta 75020 Paris,(plaques en plexiglass a l'extérieur et a l'interieur des ecoles),75020.0,2.402759,48.869912
859.0,MONUMENT AUX MORTS,"71, avenue Henri- Martin Mairie du xvieme 75016 Paris",,75016.0,2.276599,48.863942
866.0,2 PATRIOTES,"8, bld Wallace 75016 Paris",,75016.0,2.29433,48.86824
455.0,"Isidore,... WEYL",Rue du Faubourg Saint-Denis mairie du Xeme arrondissement 75010 Paris,,75010.0,2.355758,48.876004
303.0,Jacques PASTOR,Pont Alexandre III 75007 Paris,secteur quai d'Orsay,75007.0,2.308167,48.848319
206.0,Louis DESNOS,Place Saint-André des Arts 75006 Paris,,75006.0,2.342944,48.85309
53.0,Georges BLARIAUX,"66, rue des Gravilliers 75003 Paris",,75003.0,2.355876,48.864069
240.0,Georges PAULIN,3 place du 18 juin 1940 75006 Paris,,75006.0,2.324445,48.844112
266.0,Paul BOEHM,"9, rue de Solférino 75007 Paris",,75007.0,2.323045,48.85934
108.0,"DEDIEU, LECOMTE,...",Rue Schomberg Caserne Schomberg 75004 Paris,(cour intérieure),75004.0,2.363159,48.849183
51.0,Maurice BASSIS,"130, rue Vieille du Temple 75003 Paris",,75003.0,2.364221,48.861707
1200.0,Eleves de ces ecoles morts en déportation parce que nés juifs,9 rue de Tlemcen Paris,(plaques en plexiglass a l'extérieur et a l'interieur des ecoles),75020.0,2.387088,48.864586
156.0,Raymond BONNAND,"105, boulevard Saint-Michel 75005 Paris",(angle rue de l'Abbé de l'Epée),75005.0,2.339083,48.843992
39.0,Eleves de ces ecoles morts en déportation parce que nés juifs,5 rue Beauregard 75002 Paris,(plaques en plexiglass a l'extérieur et a l'interieur des ecoles),75002.0,2.348487,48.869545
588.0,MEMORIAL DES ANCIENS ELEVES ASPIRANTS DE RESERVE,Bois de Vincennes Entrée Sud du Fort de Vincennes 75012 Paris,,75012.0,2.442207,48.842349
482.0,René COLPAERT,"28, rue des Trois-Bornes 75011 Paris",,75011.0,2.374878,48.86732
1162.0,"Jules, Palluy VERCRUYSSE","4, place de la Porte de Bagnolet 75020 Paris",,75020.0,2.409463,48.864186
877.0,Eleves de ces ecoles morts en déportation parce que nés juifs,Lycée claude bernard 1 avenue du parc des princes 75016 Paris,(plaques en plexiglass a l'extérieur et a l'interieur des ecoles),75016.0,2.254941,48.841978
11.0,Guerre INDOCHINE,avenue du général Lemonnier 75001 Paris,,75001.0,2.331059,48.862498
1185.0,Eleves de ces ecoles morts en déportation parce que nés juifs,maternelle 21 rue de la Bidassoa 75020 Paris,(plaques en plexiglass a l'extérieur et a l'interieur des ecoles),75020.0,2.393827,48.866016
143.0,Eleves de ces ecoles morts en déportation parce que nés juifs,15 rue Neuve Saint-Pierre 75004 Paris,(plaques en plexiglass a l'extérieur et a l'interieur des ecoles),75004.0,2.363125,48.853794
599.0,Jean TAILLEU,"171, rue de Charenton 75012 Paris",,75012.0,2.384699,48.843897
1131.0,Léon JOSSELOVITZ,"7, place Gambetta 75020 Paris",,75020.0,2.397904,48.864778
662.0,"Père Marc-joseph, Denis GUIHAIRE","20, rue des Tanneries 75013 Paris",,75013.0,2.345906,48.833331
33.0,COMITE LOCAL DE LIBERATION DU 2ème ARRONDISSEMENT,"8, rue de la Banque Façade de la Mairie 75002 Paris",,75002.0,2.340448,48.86683
986.0,Eleves de ces ecoles morts en déportation parce que nés juifs,65 rue Damrémont 75018 Paris,(plaques en plexiglass a l'extérieur et a l'interieur des ecoles),75018.0,2.335055,48.891953
805.0,MEMORIAL,Hall de la gare Montparnasse 75015 Paris,,75015.0,2.320492,48.841045
620.0,Eleves de ces ecoles morts en déportation parce que nés juifs,253ter avenue Daumesnil 75012 Paris,(plaques en plexiglass a l'extérieur et a l'interieur des ecoles),75012.0,2.402889,48.837122
423.0,LIBERATION DE PARIS,Caserne Nouvelle France 75010 Paris,GARDES,75010.0,2.350363,48.870397
1033.0,Colonel Et Georges FABIEN,"100, boulevard de la Villette 75019 Paris",,75019.0,2.371972,48.876842
376.0,Eleves de ces ecoles morts en déportation parce que nés juifs,Lycée Condorcet 8 rue du havre 75009 Paris,(plaques en plexiglass a l'extérieur et a l'interieur des ecoles),75009.0,2.326932,48.874807
275.0,Alexandre DRUHOT,"29, avenue de Tourville 75007 Paris",,75007.0,2.307242,48.853908
328.0,Marcel FAISY,"28-30, boulevard Malesherbes 75008 Paris",,75008.0,2.321179,48.873378
676.0,MEMORIAL,"37, quai d'Austerlitz ou accès par le 47, à  l'intérieur de la Cour 75013 Paris",service des eaux (petit jardin),75013.0,2.370772,48.839764
138.0,TERNARD Marcel,"2, quai du marché neuf, a gauche devant la P.P 75004 Paris",,75004.0,2.346438,48.853907
262.0,19ème BATAILLON DE CHASSEURS,"23, place Joffre 75007 Paris",,75007.0,2.301353,48.851429
446.0,Jean SULPICE,"22, rue René Boulanger 75010 Paris",,75010.0,2.362432,48.868457
1048.0,Charles LACOMBE,"16, rue Emile Desvaux 75019 Paris",,75019.0,2.39874,48.87715
784.0,Jean-claude Et Paul CAMORS,"6, rue François- Mouthon 75015 Paris",,75015.0,2.291692,48.838674
435.0,Alfred OZROUT,"152, avenue Parmentier 75010 Paris",,75010.0,2.371039,48.870102
920.0,René BARATEAU,"2, rue de Chartres 75018 Paris",,75018.0,2.35554,48.884406
473.0,Eleves de ces ecoles morts en déportation parce que nés juifs,39 rue de l'Aqueduc 75010 Paris,(plaques en plexiglass a l'extérieur et a l'interieur des ecoles),75010.0,2.363913,48.882474
163.0,Lucienne GINESTET,"9, rue de la Collégiale 75005 Paris",,75005.0,2.352139,48.837709
617.0,Eleves de ces ecoles morts en déportation parce que nés juifs,14 rue Charles Baudelaire 75012 Paris,(plaques en plexiglass a l'extérieur et a l'interieur des ecoles),75012.0,2.376825,48.849352
1141.0,MEMORIAL RATP,"18, rue des Pyrenees Depot de Lagny 75020 Paris",,75020.0,2.400958,48.848792
403.0,Maurice FEFERMAN,"58, rue des Petites Ecuries 75010 Paris",Alias FIFI,75010.0,2.348233,48.87406
285.0,Général JOINVILLE-MALLERET,"39, avenue de la Bourdonnais 75007 Paris",,75007.0,2.299478,48.858242
1140.0,MANOUCHIAN,rUE du groupe mANOUCHIAN 75020 Paris,,75020.0,2.404505,48.869654
1117.0,Oreste DUFOUR,"59, rue Julien Lacroix 75020 Paris",,75020.0,2.384021,48.870502
380.0,Réseau AGIR,"176, Faubourg Saint-Denis 75010 Paris",,75010.0,2.357683,48.880215
789.0,DEPORTATION,"8, boulevard de Grenelle 75015 Paris",Plaque du souvenir - Ancien vélodrome d'hiver,75015.0,2.294291,48.850715
158.0,Jean DUSSARPS,rue du Petit-Pont 75005 Paris,,75005.0,2.346532,48.852491
214.0,FONTAINE SAINT-MICHEL,Plaque droite 75006 Paris,,75006.0,2.333632,48.853648
540.0,Eleves de ces ecoles morts en déportation parce que nés juifs,29 rue servan 75011 Paris,(plaques en plexiglass a l'extérieur et a l'interieur des ecoles),75011.0,2.382974,48.860758
976.0,Eleves de ces ecoles morts en déportation parce que nés juifs,63 rue de clignancourt 75018 Paris,(plaques en plexiglass a l'extérieur et a l'interieur des ecoles),75018.0,2.347859,48.888234
186.0,Eleves de ces ecoles morts en déportation parce que nés juifs,12 rue victor cousin 75005 Paris,(plaques en plexiglass a l'extérieur et a l'interieur des ecoles),75005.0,2.342191,48.847604
593.0,André PRADELLES,"44, boulevard de Picpus 75012 Paris",,75012.0,2.401873,48.843096
250.0,Alexandre ROCHAIS,rue Saint-André des Arts 75006 Paris,,75006.0,2.340503,48.853442
87.0,Eleves de ces ecoles morts en déportation parce que nés juifs,25 rue chapon 75003 Paris,(plaques en plexiglass a l'extérieur et a l'interieur des ecoles),75003.0,2.35516,48.863623
906.0,Eleves de ces ecoles morts en déportation parce que nés juifs,16 rue laugier 75017 Paris,(plaques en plexiglass a l'extérieur et a l'interieur des ecoles),75017.0,2.296823,48.880265
316.0,Michel VARIN DE LA BRUNELIERE,Quai d'Orsay 75007 Paris,face à  l'Assemblée Nationale après la descente sur berge,75007.0,2.307438,48.862316
669.0,Daniel LAVORINI,"153, rue de Tolbiac 75013 Paris",,75013.0,2.35987,48.826857
843.0,Maurice-henri FRANCE DE SEYNES,"2, rue Decamps 75016 Paris",,75016.0,2.282828,48.865366
1136.0,Paul Et Gisèle LAGUESSE,"66, boulevard Davout 75020 Paris",,75020.0,2.411084,48.852864
828.0,Jacques BINGEN,"106,rue de la Pompe Lycée Janson de Sailly 75016 Paris",,75016.0,2.279442,48.86555
1042.0,René GUILLAUME,"112, rue de Flandres 75019 Paris",,75019.0,2.378546,48.891825
660.0,Georges GEORGES,29 rue des Reculettes 75013 Paris,,75013.0,2.349944,48.831993
811.0,Robert PAVARD,"167, rue Saint-Charles 75015 Paris",,75015.0,2.281563,48.841881
941.0,Pierre GALLOT,2 avenue de la Porte des Poissonniers Boulevard Ney 75018 Paris,(plaque déposée pour travaux jusqu'en avril 2008),75018.0,2.352423,48.899663
978.0,Eleves de ces ecoles morts en déportation parce que nés juifs,129 rue Belliard 75018 Paris,(plaques en plexiglass a l'extérieur et a l'interieur des ecoles),75018.0,2.33561,48.896346
220.0,Robert GAUTHIER,"9, place Saint- Michel 75006 Paris",,75006.0,2.343591,48.853183
663.0,Victor HERVO,"74, avenue d'Italie 75013 Paris",(Intérieur de la salle Victor Hervo),75013.0,2.356863,48.826533
890.0,Jean HADED LESCURE,"92, boulevard des Batignolles 75017 Paris",,75017.0,2.317583,48.881729
1134.0,Jacques KRAMKIMEL,"7, place Gambetta 75020 Paris",,75020.0,2.397904,48.864778
938.0,Colonel FABIEN,Métro Barbès 75018 Paris,,75018.0,2.34957,48.887581
601.0,Charles TILLON,"41, rue de Saint-Mandé 75012 Paris",,75012.0,2.401291,48.845235
1094.0,Plaque extérieure etat DEVE du 24/11/2011,63 rue Archereau 75019 Paris,Plaque extérieure etat DEVE du 24/11/2011,75019.0,2.375825,48.892856
1049.0,Fanny LADSKY,allée Récipion 75019 Paris,,75019.0,2.372326,48.879637
900.0,RESISTANTS FUSILLES,Square Marguerite Long 75017 Paris,,75017.0,2.30394,48.891556
4.0,Jacques CAMI,"2, rue du Roule 75001 Paris",,75001.0,2.343584,48.86022
137.0,"Jean, Prevot ROCHER","20, boulevard de Sébastopol 75004 Paris",,75004.0,2.349424,48.860264
1108.0,Henri BROBION,"13, rue Saint-Blaise 75020 Paris",,75020.0,2.404825,48.859812
678.0,Kleber MEUNIER,"11, avenue Stéphen-Pichon 75013 Paris",,75013.0,2.359416,48.833227
801.0,Alphonse LHUILLIER,"112, rue Castagnary 75015 Paris",30 (Augustin),75015.0,2.30546,48.830131
718.0,Eleves de ces ecoles morts en déportation parce que nés juifs,5 rue Providence 75013 Paris,(plaques en plexiglass a l'extérieur et a l'interieur des ecoles),75013.0,2.348883,48.825347
199.0,Robert BOTTINE,blvd Saint-Michel 75006 Paris,(sur le mur du Crédit Lyonnais),75006.0,2.341032,48.847978
1036.0,Marcel FRANCOIS,"7, boulevard d'Algérie 75019 Paris",,75019.0,2.400468,48.879879
1204.0,Eleves de ces ecoles morts en déportation parce que nés juifs,9/11 rue de la plaine 75020 Paris,(plaques en plexiglass a l'extérieur et a l'interieur des ecoles),75020.0,2.400272,48.850003
106.0,COMITE PARISIEN DE LA LIBERATION,,Hôtel de Ville (couloir du Conseil de Paris),75004.0,2.355582,48.851745
542.0,Eleves de ces ecoles morts en déportation parce que nés juifs,22 rue saint-maur 75011 Paris,(plaques en plexiglass a l'extérieur et a l'interieur des ecoles),75011.0,2.382034,48.860315
26.0,Roger SEJOURNANT,"27, rue Saint-Denis 75001 Paris",(angle rue des Lombards),75001.0,2.347894,48.859676
338.0,à€ La MEMOIRE DES FORCES ALLIEES,"Place de Narvik, ambassade de Norvège 75008 Paris",,75008.0,2.312866,48.876478
885.0,COMITE DE LIBERATION DU XVIIeme,"18, rue des Batignolles Mairie du xviieme 75017 Paris",,75017.0,2.321898,48.884452
465.0,Eleves de ces ecoles morts en déportation parce que nés juifs,34 rue du Fg Saint-Denis Paris,(plaques en plexiglass a l'extérieur et a l'interieur des ecoles),75010.0,2.353503,48.871103
611.0,Eleves de ces ecoles morts en déportation parce que nés juifs,28 rue de la Brèche aux Loups 75012 Paris,(plaques en plexiglass a l'extérieur et a l'interieur des ecoles),75012.0,2.394421,48.837806
756.0,France Bloch- SERAZIN,"1, rue Monticelli 75014 Paris",,75014.0,2.32891,48.821488
343.0,Léon REINACH,"63, rue Monceau 75008 Paris",,75008.0,2.312855,48.878849
835.0,CHALVIDAN,"51, boulevard Exelmans 75016 Paris",(caserne Chalvidan),75016.0,2.261788,48.842065
246.0,Victor RASTELLO,"4, rue de Condé Carrefour de l'Odéon 75006 Paris",,75006.0,2.338485,48.851978
504.0,Louise JACOBSON,8 rue des Boulets 75011 Paris,,75011.0,2.391457,48.849662
299.0,H à€ Z MEMORIAL 1939-1945,"116, rue de Grenelle Mairie du VIIème arrondissement 75007 Paris",Hall d'entrée,75007.0,2.320027,48.856871
103.0,Louis CHAPIRO,"34, rue des Rosiers 75004 Paris",,75004.0,2.359055,48.857418
429.0,MEMORIAL 1939-1945,Gare du Nord cour des départs 75010 Paris,,75010.0,2.352342,48.872505
86.0,Eleves de ces ecoles morts en déportation parce que nés juifs,8 rue des vertus 75003 Paris,(plaques en plexiglass a l'extérieur et a l'interieur des ecoles),75003.0,2.357887,48.864174
500.0,Roger HANLET,"4, rue Henri Ranvier 75011 Paris",,75011.0,2.386453,48.858664
586.0,MEMORIAL,Route des fortifications 75012 Paris,côté avenue de la Porte de Charenton,75012.0,2.403451,48.832115
1110.0,Félix CADRAS,"119, boulevard Davout 75020 Paris",,75020.0,2.409712,48.857026
469.0,Eleves de ces ecoles morts en déportation parce que nés juifs,"155,159 avenue Parmentier",(plaques en plexiglass a l'extérieur et a l'interieur des ecoles),75010.0,2.369595,48.871707
1016.0,Eleves de ces ecoles morts en déportation parce que nés juifs,collège 55 rue Marx Dormoy 75018 Paris,(plaques en plexiglass a l'extérieur et a l'interieur des ecoles),75018.0,2.359696,48.888496
1109.0,Hélène BRUN,"1, rue Dulaure 75020 Paris",,75020.0,2.409471,48.866469
549.0,Eleves de ces ecoles morts en déportation parce que nés juifs,77 bld de belleville 75011 Paris,(plaques en plexiglass a l'extérieur et a l'interieur des ecoles),75011.0,2.377427,48.87128
984.0,Eleves de ces ecoles morts en déportation parce que nés juifs,9 rue Richomme 75018 Paris,(plaques en plexiglass a l'extérieur et a l'interieur des ecoles),75018.0,2.352132,48.886399
897.0,Guy Et Serge MOQUET,75017 Paris,"34, rue Baron (1er étage)",75017.0,2.313991,48.883352
819.0,Louis-victor CAZALOT,"24, rue Eugène Millon 75015 Paris",,75015.0,2.292396,48.837659
1000.0,Eleves de ces ecoles morts en déportation parce que nés juifs,26 rue du Mont Cenis 75018 Paris,(plaques en plexiglass a l'extérieur et a l'interieur des ecoles),75018.0,2.342148,48.88854
181.0,Eleves de ces ecoles morts en déportation parce que nés juifs,10 rue Rollin 75005 Paris,(plaques en plexiglass a l'extérieur et a l'interieur des ecoles),75005.0,2.350841,48.84475
997.0,Eleves de ces ecoles morts en déportation parce que nés juifs,69 rue Championnet 75018 Paris,(plaques en plexiglass a l'extérieur et a l'interieur des ecoles),75018.0,2.345136,48.89575
1104.0,François BOLTZ,"26, rue Piat 75020 Paris",,75020.0,2.385212,48.871873
