ndeg_de_notice,isbn,issn,ean,langue,titre,edition,editeur,date,format,collection,titre_de_serie,ndeg,auteur_nom,auteur_prenom,auteur_dates,libelle_v_smart_et_webopac,nombre_de_localisations,nombre_de_pret_total,nombre_de_prets_2017,nombre_d_exemplaires,categorie_statistique_1,categorie_statistique_2,aime_cesaire,amelie,andre_malraux,andree_chedid,arthur_rimbaud,assia_djebar,batignolles,benjamin_rabier,buffon,canopee_la_fontaine,chaptal,charlotte_delbo,claude_levi_strauss,colette_vivier,courcelles,couronnes_naguib_mahfouz,crimee,diderot,drouot,edmond_rostand,europe,faidherbe,fessart,francois_villon,francoise_sagan,georges_brassens,germaine_tillion,glaciere,goutte_d_or,gutenberg,helene_berr,herge,heure_joyeuse,italie,jacqueline_de_romilly,jean_pierre_melville,lancry,louise_michel,marguerite_audoux,marguerite_duras,marguerite_yourcenar,maurice_genevoix,mmp,mohammed_arkoun,mortier,musset,oscar_wilde,parmentier,place_des_fetes,rainer_maria_rilke,reserve_centrale,robert_sabatier,saint_eloi,saint_simon,sorbier,vaclav_havel,valeyre,vandamme,vaugirard,auteur,co_auteur,auteur_secondaire,collectivite_auteur,collectivite_auteur_secondaire_,collectivite_co_auteur_
876582,,,5099923768123,sans,"0Concertos | Enregistrement sonore | Rodrigo, comp. | Moreno, guit. | Ara, vl... [et al.] | Enrique Bátiz, dir.",,"['EMI records', '[distrib. EMI music France]']",P 2009,"2 disques compacts (1 h 17 min 23 s, 1 h 19 min 06 s) | DDD | 1 brochure",,,,Rodrigo,Joaquin,1901-1999,Disque compact,1,26.0,5,1,['M310 Musique classique: 20eme et 21eme siecles'],['pas de code stat 2'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Rodrigo, Joaquin']",,"Moreno;León Ara;Bátiz, Alfonso;Agustín;Enrique",,,
338387,2-7234-5166-6,,9782723451666,français,Shangaïé | Texte imprimé | Vincent,,['Glénat'],impr. 2006,"1 vol. (48 p.) | ill. en coul., couv. ill. en coul. | 32 cm",19 | Albatros | 1;Grafica,Albatros,1,Vincent,,1974-....,Bande dessinée pour adulte,5,314.0,16,5,['LBDE Bandes dessinees'],['pas de code stat 2'],,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,1.0,,,,,1.0,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,['Vincent'],,,,,
876935,,,3279792862036,sans,"0L'oeuvre d'orgue | Volume 2 | Les pièces en style libre, les 2 messes, le tryptique | Enregistrement sonore | Louis Vierne, comp. | Pierre Labric, org.",,['Disques du Solstice'],[DL 2013],"3 disques compacts (52 min 21 s, 1 h 07 min 20 s, 1 h 08 min 50 s) | 1 brochure",,,,Vierne,Louis,1870-1937,Disque compact,2,11.0,2,2,['M310 Musique classique: 20eme et 21eme siecles'],['pas de code stat 2'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,"['Vierne, Louis']",,"Labric, Pierre",,,
39223,2-253-18001-7,,,français,"L'île des esclaves | Texte imprimé | comédie en un acte | 1725 | Marivaux | préf., notes et comment. par Jean Goulemot",,['Librairie générale française'],1999,"90 p. | ill., couv. ill. en coul. | 18 cm",Théâtre de poche,,,Marivaux,Pierre de,1688-1763,Livre pour adulte,4,54.0,10,4,['LFRA Litterature francaise'],['LTHM Theatre avant 1945'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,1,,,,,,,,,,,,1.0,,,"['Marivaux, Pierre de']",,"Goulemot, Jean",,,
393970,,,,,Bärenreiter Piano Album | Musique imprimée | Baroque | édité par Adél Erényi,,['Bärenreiter'],2003,1 partition (47 p.) | 30 cm,,,,,,,Partition,2,129.0,5,3,['155'],['pas de code stat 2'],,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,"Erenyi, Adel",,,,
877877,,,3259130172546,français,Berceuses autour du monde | Enregistrement sonore,,['Editions Eponymes'],2005,1 disque compact | 1 brochure,,,,,,,Enregistrement musical pour la jeunesse,2,23.0,5,3,['MJCR Phonos enfants\xa0: chansons et ronds'],['pas de code stat 2'],,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
878546,978-3-7957-5829-5,,9783795758295,anglais,Swing standards  | Multimédia multisupport | 18 famous swing standards = 18 bekannte Melodien | Piano | arranged by = arrangiert von Carsten Gerlitz,,['Schott'],cop. 2007,1 partition (71 p.) | couv. ill. en coul. | 31 cm;\1 disque compact,Schott piano lounge,,,,,,Partition,1,28.0,1,1,['M104 Jazz classique'],['pas de code stat 2'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Gerlitz, Carsten",,,
394250,2-07-029167-7,,,espagnol,Une soirée en Provence ou le mot et le cri | Texte imprimé | pièces radiophoniques et livrets d'opéras de chambre | Jean Tardieu,,['Gallimard'],1987,270 p. | 21 cm,19 | Théâtre / Jean Tardieu | 3,Théâtre / Jean Tardieu,3,Tardieu,Jean,1903-1995,Livre pour adulte,2,86.0,2,2,['LFRA Litterature francaise'],['pas de code stat 2'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,"['Tardieu, Jean']",,,,,
39589,,,,anglais,"Cry like a rainstorm, howl like the wind | Enregistrement sonore | L. Ronstadt",,['Elektra'],1989,1 cassette ou 1 compact | DDD | 1 feuillet,,,,,,,Disque compact,1,20.0,1,1,['M912 Musiques du monde: Amerique du Nord'],['pas de code stat 2'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,"Ronstadt, Linda",,,
879525,,,,français,"Fais pas ci, fais pas ça | Saison 1 | DVD 1 | images animées | Pascal Chaumeil, Ivan Radkine, Alexandre Pidoux... [et al.], réal. | Anne Giafferi, Thierry Bizot, idée orig. | Jean-André Yerles, Claire Lemaréchal, Anne Giafferi... [et al.], scénario | Philippe Kelly, comp. | Isabelle Gélinas, Bruno Salomone, Valérie Bonneton... [et al.], act.",,['Francetélévisions distribution [éd.]'],2007,"1 DVD vidéo mono face zone 2 (4 x 42 min) | 16/9 compatible 4/3, coul. (PAL), son. (Dolby digital stéréo)",,,,,,,DVD-vidéo tous publics,1,35.0,7,1,['CFRA Cinema francais'],['CSTV Serie televisee'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,"Giafferi;Bizot;Kelly;Gelinas;Salomone;Bonneton, Anne;Thierry;Philippe;Isabelle;Bruno;Valérie",,,
397837,,,,anglais,Fairy tale | Enregistrement sonore | Donovan,,['P1991'],1991,1 compact | 1 feuillet,,,,,,,Disque compact,2,32.0,1,2,"['M203 Folk rock, country rock, blues rock']",['pas de code stat 2'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,"Donovan;Philips, Shawn",,,
880148,,,8430526510578;08430526510578,espagnol,"Esencial flamenco | enregistrement sonore | Manuel Vallejo, Nino de Gloria (El), Nino de la Huerta (El)... [et al.] | vol.7",,['Ok Records'],2008,1 disque compact | DDD | 1 brochure,,,,,,,Disque compact,1,10.0,0,1,['M908 Musiques du monde: peninsule iberique'],['pas de code stat 2'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
398389,978-2-7096-2872-3,,9782709628723,français,Jour fatal | Texte imprimé | roman | Dean Koontz | traduit de l'anglais (États-Unis) par Dominique Defert,,['J.-C. Lattès'],impr. 2008,1 vol. (425 p.) | couv. ill. en coul. | 23 cm,,,,Koontz,Dean Ray,1945-....,Livre pour adulte,14,529.0,18,14,['LNAM Litterature nord-americaine'],['pas de code stat 2'],,,,1.0,1.0,,1.0,,,,,,,,,1.0,,,,,1.0,1.0,1.0,,1.0,1.0,1.0,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,1.0,,,,,,,1.0,,"['Koontz, Dean Ray']",,"Defert, Dominique",,,
884744,978-2-7021-4371-1,,9782702143711,français,La Seconde guerre mondiale | Texte imprimé | Antony Beevor | traduit de l'anglais par Raymond Clarinard,,['Calmann-Lévy'],impr. 2012,"1 vol. (1004 p.-[32] p. de pl.) | ill., cartes, couv. ill. | 24 cm",,,,Beevor,Antony,1946-....,Livre pour adulte,27,453.0,26,27,['D904 Histoire occidentale (Europe et Amerique du Nord)'],['pas de code stat 2'],,,,1.0,,,,,1.0,,,,,,,1.0,,,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,,,1.0,,1.0,,,1.0,1.0,1.0,,,1.0,,,1.0,1.0,,,,1.0,,1.0,,1.0,1.0,1.0,1.0,"['Beevor, Antony']",,"Clarinard, Raymond",,,
400956,,,,,"Cachaito | Enregistrement sonore | O. ""Cachaito"" Lopez",,['World Circuit'],2001,1 compact | 1 brochure,,,,,,,Disque compact,1,63.0,0,1,['M915 Musiques du monde: Antilles hispanophones et francophones'],['pas de code stat 2'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cachaito,,,
885806,978-2-01-270526-5,,9782012705265,français,"Biocarburants, la fausse solution | Texte imprimé | Fabrice Nicolino",,['Hachette littératures'],DL 2010,1 vol. (168 p.) | couv. ill. en coul. | 18 cm,Pluriel,,,Nicolino,Fabrice,1955-....,Livre pour adulte,1,5.0,0,1,"['D308 Ecologie, developpement durable']",['pas de code stat 2'],,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Nicolino, Fabrice']",,,,,
403042,2-85868-069-8,,,français,Solfège populaire basé sur le rythme | Texte imprimé | clé de fa | par Ernest Van de Velde,,['Van de Velde'],1993,1 méthode musicale (92 p.) | 30 cm,,,,Van de Velde,Ernest,,Méthode musicale,4,99.0,7,4,['MMSO Methodes musicales: solfege'],['pas de code stat 2'],,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,"['Van de Velde, Ernest']",,,,,
887464,978-2-09-186862-2,,9782091868622,français,"Le labyrinthe des dragons | lire pour réviser | du CE2 au CM1, 8-9 ans, fantastique | Christophe Lambert, Anne Popet | illustré par Philippe Bucamp",Nouvelle édition,['Nathan'],2012,1 vol. (95 p.) | illustrations en couleur | 22 x 14 cm,L'énigme des vacances | 7,,,Lambert,Christophe,1969-....,Livre jeunesse,1,52.0,4,1,['D306 Pedagogie'],['pas de code stat 2'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,"['Lambert, Christophe']","Popet, Anne","Bucamp, Philippe",,,
889604,978-2-02-096916-1,,9782020969161,français,Ce n'est pas parce que | Texte imprimé | Gaëtan Dorémus,,['Seuil jeunesse'],DL 2008,"1 vol. (non paginé [40] p.) | ill., couv. ill. | 15 x 18 cm",,,,Dorémus,Gaëtan,1976-....,Livre jeunesse,1,8.0,3,1,['LALB Albums'],['pas de code stat 2'],,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Dorémus, Gaëtan']",,,,,
889611,,,0885150333532,français,"L'inoubliable | Enregistrement sonore | Lucia Popp | Lucia Popp, soprano",,['Acanta'],2012,4 disque compact | 1 brochure,,,,Popp,Lucia,,Disque compact,1,13.0,1,1,['M303 Musique classique: recital chant'],['pas de code stat 2'],,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Popp, Lucia']",,"Popp, Lucia",,,
889708,,,0029667274722,anglais,"Heat | Enregistrement sonore | Jungle fire | Pucho & his Latin soul brothers, groupe voc. et instr.",,['Ace records'],cop. 1992,1 disque compact | 1 brochure,Two albums on one CD,,,,,,Disque compact,1,25.0,1,1,['M104 Jazz classique'],['pas de code stat 2'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,['Pucho & His Latin Soul Brothers'],,
890375,978-2-918272-17-5,,9782918272175,français,Another World | Texte imprimé,,"[""Pix'n Love""]",2010,1 vol. (129 p.) | ill. en coul. | 21 x 15 cm,,Pix'n love,14,,,,Livre jeunesse,1,5.0,0,1,"['D712 Autres spectacles, radio, television, loisirs et jeux']",['pas de code stat 2'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,
890447,978-2-264-05132-5,,9782264051325,français,Les expéditions | Texte imprimé | Karl Iagnemma | traduit de l'anglais (États-Unis) par Marina Boraso,,['10-18'],DL 2011,"1 vol. (444 p.) | carte, couv. ill. en coul. | 18 cm",10-18 | Domaine étranger,,,Iagnemma,Karl,1972-....,Livre pour adulte,2,,0,2,['LNAM Litterature nord-americaine'],['LHIS Roman historique'],,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,"['Iagnemma, Karl']",,"Boraso, Marina",,,
891183,978-84-8383-380-3,,,espagnol,Anos lentos | Texte imprimé | Fernando Aramburu,2a ed.,['Tusquets'],DL 2012,1 vol. (219 p.) | couv. ill. | 21 cm,Coleccion Andanzas | 775,,,Aramburu,Fernando,1959-....,Livre en langue étrangère,1,16.0,2,1,['LESP Litterature espagnole'],['LROP Roman après 1945'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,"['Aramburu, Fernando']",,,,,
388656,,,,français,Le long des rues | Texte imprimé | Georges Cain,,['Flammarion'],1927,382 p.-44 f. de pl. | 18 cm,,,,Cain,Georges,,Livre pour adulte,2,9.0,0,2,['D906 Histoire de Paris'],['pas de code stat 2'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,"['Cain, Georges']",,,,,
387960,2-7007-0307-3,,,français,Orient et Occident au temps des croisades | Texte imprimé | Claude Cahen,,['Aubier Montaigne'],1983,"302 p. | ill., couv. ill. | 22 cm",Collection historique,,,Cahen,Claude,1909-1991,Livre pour adulte,2,81.0,1,2,['62'],['pas de code stat 2'],,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,"['Cahen, Claude']",,,,,
881798,,,3299039942727,français,"Dexter | Saison 6 | Enregistrement sonore | music from the showtime original series | Rolfe Kent, instr. | Milenio Flow feat. Gina... [et al.], chant",,"['Universal music', '[distrib. Universal licensing music]']",P 2012,1 disque compact (1 h 07 min 40 s) | 1 dépl.,,,,,,,Disque compact,2,40.0,5,2,['M601 Musiques de films et compilations'],['pas de code stat 2'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,"Kent;Milenio flow;Gina, Rolfe",,,
388924,0-7188-2834-8,,,anglais,Family mouse behind the wheel | Texte imprimé | Wolfgang Zuckermann | ill. Roger Tweedt,,['The Lutterworth press'],1992,28 p. | ill. en coul. | 27 cm,,,,Zuckermann,Wolfgang,,Livre jeunesse,1,42.0,8,1,['LBRI Litterature britannique'],['pas de code stat 2'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,"['Zuckermann, Wolfgang']",,"Tweedt, Roger",,,
390030,,,,français,Ethnologie et langage | Texte imprimé | la parole chez les Dogon | Geneviève Calame-Griaule,,['Gallimard'],1965,589 p.-24 p. de pl. | fig. | 23 cm,Bibliothèque des sciences humaines,,,Calame-Griaule,Geneviève,,Livre pour adulte,2,128.0,1,2,['D401 Langues et linguistique'],['pas de code stat 2'],,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,"['Calame-Griaule, Geneviève']",,,,,
996932,,,8711315770923,sans,"Latin around the keys | Enregistrement sonore | Piano Con Clave, duo instr.",,['Boudisque Records'],1993,1 disque compact | 1 dépliant,,,,,,,Disque compact,1,19.0,5,1,['M913 Musiques du monde: Amerique latine sauf Bresil'],['pas de code stat 2'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,['Piano Con Clave'],,
384593,2-259-19874-0,,,français,Victime | Texte imprimé | les dernières révélations de Marilyn Monroe | Matthew Smith | trad. de l'anglais par Marie-Claude Elsen,,['Plon'],2003,322 p.-[32] p. de pl. | couv. ill. | 23 cm,,,,Smith,Matthew,,Livre pour adulte,1,7.0,0,1,['65'],['pas de code stat 2'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,"['Smith, Matthew']",,"Elsen, Marie-Claude",,,
388255,2-86705-086-3,,,français,La Popessa | Texte imprimé | Paul I. Murphy et R. René Arlington | trad. de l'américain par Frédéric Djibril,,['Lieu commun'],1987,267 p. | couv. ill. | 22 cm,Lieu commun Biographie | 0988-0925,,,Murphy,Paul I.,,Livre pour adulte,1,6.0,0,1,"['D202 Bible, christianisme']","['DBIO Biographie, monographie sur auteur']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,"['Murphy, Paul I.']","Arlington, R. René","Djibril, Frédéric",,,
994762,978-3-12-606208-4,,9783126062084,allemand,"Der grüne Max [neu] | 2 | Lehrbuch | Texte imprimé | Deutsch als Fremdsprache für die Primarstufe | Elzbieta Krulak-Kempisty, Lidia Reitzig, Ernst Endt",,['Langenscheidt'],2013,1 vol. (104 p.) | ill. | 27 cm,,,,Krulak-Kempisty,Elzbieta,,Méthode de langue,1,3.0,0,1,['D403 Langues: allemand'],['pas de code stat 2'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,"['Krulak-Kempisty, Elzbieta']","Reitzig;Endt, Lidia;Ernst",,,,
994712,,,5051889392118,,La ligue des justiciers | nouvelle génération | Saison 1 | Volume 4 | Images animées,,"['Warner home video France [éd., distrib.]']",[DL 2013],"1 DVD vidéo monoface double couche zone 2 (2 h 27 min) | 16/9, coul. (PAL), son., surround (Dolby)",,,,,,,DVD jeunesse,1,41.0,6,1,['CNAM Cinema nord-americain'],"[""CANI Film d'animation""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
492885,,,,,Premier maitre du piano | Musique imprimée | opus 599,,['P. Beuscher'],s.d.,1 partition (54 p.) | 32 cm,,,,Czerny,Carl,1791-1857,Partition,2,43.0,1,2,['155'],['pas de code stat 2'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,"['Czerny, Carl']",,,,,
493629,2-07-073221-5,,,français,La voix du sang | Texte imprimé | roman | Yachar Kemal | trad. du turc par Munevver Andac,,['Gallimard'],1995,442 p. | couv. ill. | 22 cm,19 | Salman le solitaire. | 3;Du monde entier,Salman le solitaire.,3,Kemal,Yasar,1922-....,Livre pour adulte,2,50.0,0,2,['LMMO Litterature du Maghreb et du Moyen-Orient'],['pas de code stat 2'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,"['Kemal, Yasar']",,"Andaç, Münevver",,,
494569,2-884-71173-2,,,français,Lucky Luke | Texte imprimé | l'intégrale | 15 | [dessins de] Morris | [scénario de] Goscinny,,"['Lucky comics', '[diff. Dargaud]']",2004,"144 p. | ill. en noir et en coul., couv. ill. en coul. | 30 cm",,Lucky Luke,15,Morris,,1923-2001,Bande dessinée jeunesse,1,62.0,6,1,['LBDE Bandes dessinees'],['pas de code stat 2'],,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Morris'],"Goscinny, René",,,,
495407,2-258-01986-9,,,français,Les Grandes solitudes | Texte imprimé | Janet Dailey,,['Presses de la Cité'],1987,453 p.,,,,Dailey,Janet,1944-....,Livre pour adulte,1,7.0,0,1,['LFRA Litterature francaise'],['pas de code stat 2'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,"['Dailey, Janet']",,,,,
495750,,,,français,La Hache des steppes | Texte imprimé,,['R. Laffont'],1974,,,,,Raspail,Jean,,Livre pour adulte,1,13.0,0,1,['LFRA Litterature francaise'],['pas de code stat 2'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,"['Raspail, Jean']",,,,,
997996,978-2-35212-115-2,,9782352121152,français,Feu de paille | Texte imprimé,,,2015,,,,,Demont,Adrien,,Bande dessinée pour adulte,6,117.0,17,6,['LBDE Bandes dessinees'],['pas de code stat 2'],,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,1.0,1.0,,,,1.0,,,,"['Demont, Adrien']",,,,,
998151,978-1-4088-5198-2,,9781408851982,anglais,The assassin's blade | Texte imprimé | Sarah J. Maas,,['Bloomsbury'],2014,"1 vol. (436 p.) | carte, couv. ill. en coul. | 20 cm",Throne of glass | [3],Throne of glass,3,Maas,Sarah J.,,Livre en langue étrangère,1,2.0,1,1,['LNAM Litterature nord-americaine'],"['LFAY Fantasy, Heroic fantasy']",,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Maas, Sarah J.']",,,,,
482986,2-214-08462-2,,,français,Ce monde de rosée | Texte imprimé | Jean Boulmer,,['la Pensée universelle'],1990,116 p. | 18 cm,,,,Boulmer,jean,,Livre pour adulte,1,,0,1,['LFRA Litterature francaise'],['LTHM Theatre avant 1945'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,"['Boulmer, jean']",,,,,
482374,,,,français,"Bergen, comme un mirage  | Images animées | Serge Leroux, réal | Philippe Leroux, mus | Court-Circuit, ensemble instrumental | Pierre-André Valade, dir | Philippe Leroux, particip",Choix de langues : français,['Hibou Production [éd.]'],2008,"1 DVD vidéo toutes zones (26 min) | coul. (PAL), son.",,,,Leroux,Serge,,DVD-vidéo tous publics,1,,0,1,['D707 Musique'],['pas de code stat 2'],,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Leroux, Serge']",,"Valade;Leroux, Pierre André;Philippe",,['Court-Circuit'],
998960,978-2-86746-764-6,,9782867467646,français,Parce qu'ils sont Arméniens | Texte imprimé | Pinar Selek | traduit du turc par Ali Terzioğlu,,['Liana Levi'],DL 2015,1 vol. (93 p.) | 19 cm,Opinion,,,Selek,Pinar,1971-....,Livre pour adulte,18,135.0,10,18,['D905 Histoire: autre pays'],['pas de code stat 2'],,,,1.0,,,,,1.0,1.0,,,,,,,,,,,,1.0,,,1.0,,,1.0,1.0,,1.0,,,1.0,,1.0,,,1.0,1.0,1.0,,,,,,1.0,,,,,1.0,1.0,,1.0,,1.0,,,"['Selek, Pinar']",,"Terzioglu, Ali",,,
99969,2-01-011042-0,,,français,La Vie quotidienne à la Cour pontificale au temps des Borgia et des Médicis | Texte imprimé | 1420-1520 | Jacques Heers,,['Hachette'],1986,"243 p. | plans, couv. ill. en coul. | 20 cm",La Vie quotidienne | 0768-0074,,,Heers,Jacques,1924-....,Livre pour adulte,4,97.0,1,4,"['D202 Bible, christianisme']",['pas de code stat 2'],,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,"['Heers, Jacques']",,,,,
999836,,,3453277207127,,"5 films Made in California | Images animées | Agnès Varda, réal., scénario | Viva, Gerome Ragni, James Rado... [et al.], act.",,['ARTE Editions [éd.]'],2014,"2 DVD 2 couches sur une simple face toutes zones (5 h 09 min) | 4/3, coul., (PAL), Son. (Dolby Digital 2.0) (DTS 5.1)",,,,,,,DVD-vidéo tous publics,8,255.0,39,8,['D708 Cinema'],['pas de code stat 2'],,,1.0,,,,,,1.0,,,,1.0,,,,,,,1.0,,,,1.0,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,"Varda;Viva;Ragni;Rado, Agnès;Gerome;James",,,
959619,978-2-266-23603-4,,9782266236034,français,Les misérables | Texte imprimé | Victor Hugo,,['Pocket'],impr. 2013,1 vol. (1662 p.) | couv. ill. en coul. | 18 cm,Pocket | 15434,,,Hugo,Victor,1802-1885,Livre pour adulte,1,42.0,5,1,['LFRA Litterature francaise'],['LROM Roman avant 1945'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Hugo, Victor']",,,,,
959663,,,4005939722920,sans,"Person of interest | Saison 2 | enregistrement sonore | original television soundtrack | Ramin Djawadi, comp. | The Hollywood studio symphony, orch.",,['Varèse Sarabande'],2014,1 disque compact | DDD | 1 brochure,,,,Djawadi,Ramin,1974-....,Disque compact,3,26.0,2,3,['M601 Musiques de films et compilations'],['pas de code stat 2'],,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,"['Djawadi, Ramin']",,,,['The Hollywood studio symphony'],
959881,,,,,"Hunted | Episodes 5 et 6 | Images animées | Frank Spotnitz, idée orig. | Melissa George, Stephen Dillane, Adam Rayner... [et al.], act.",,"['Wild side video [éd.]', 'Warner home video France [distrib.]']",2012,"1 DVD vidéo mono face double couche zone 2 (2 h 00 min) | 16/9, coul. (PAL), son., surround (Dolby)",Hunted,Hunted,,,,,DVD-vidéo tous publics,1,54.0,10,1,['CBRI Cinema britannique'],['CSTV Serie televisee'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,"Spotnitz;George;Dillane;Rayner, Frank;Melissa;Stephen;Adam",,,
960094,978-2-7424-3655-2,,9782742436552,français,Laos-Cambodge | Texte imprimé,Nouvelle édition,['Gallimard loisirs'],2014,"1 vol. (384 p.) | illustrations en couleur, cartes | 23 x 15 cm",Bibliothèque du voyageur | 0990-283X,,,,,,Livre pour adulte,12,398.0,70,12,"['D911 Guides de voyage, tourisme']",['pas de code stat 2'],,,,,,,,,,1.0,,,,,,,,,1.0,,,1.0,,,,,,,1.0,,1.0,,,,1.0,1.0,,,,1.0,1.0,,,,,,1.0,,,1.0,,,,1.0,,,,,,,,,,,
